fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
07. Mai;0.65;0.18;7;0.088;27;94;0.99915;Mrz 38;0.77;09. Apr;5
07. Sep;0.545;0.06;4;0.087;27;61;0.9965;Mrz 36;0.67;10. Jul;6
06. Sep;0.54;0.04;3;0.077;7;27;0.9987;Mrz 69;0.91;09. Apr;6
11. Mai;0.18;0.51;4;0.104;4;23;0.9996;Mrz 28;0.97;10. Jan;6
10. Mrz;0.32;0.45;06. Apr;0.073;5;13;0.9976;Mrz 23;0.82;12. Jun;8
08. Sep;0.4;0.32;05. Jun;0.087;10;47;0.9991;Mrz 38;0.77;10. Mai;7
11. Apr;0.26;0.44;03. Jun;0.071;6;19;0.9986;03. Dez;0.82;09. Mrz;6
07. Jul;0.27;0.68;03. Mai;0.358;5;10;0.9972;Mrz 25;01. Aug;09. Sep;7
07. Jun;0.52;0.12;3;0.067;12;53;0.9971;Mrz 36;0.57;09. Jan;5
08. Sep;0.4;0.32;05. Jun;0.087;10;47;0.9991;Mrz 38;0.77;10. Mai;7
09. Sep;0.59;0.07;03. Apr;0.102;32;71;100.015;Mrz 31;0.71;09. Aug;5
09. Sep;0.59;0.07;03. Apr;0.102;32;71;100.015;Mrz 31;0.71;09. Aug;5
12;0.45;0.55;2;0.073;25;49;0.9997;03. Jan;0.76;10. Mrz;6
07. Mai;0.4;0.12;3;0.092;29;53;0.9967;Mrz 37;0.7;10. Mrz;6
08. Jul;0.52;0.09;02. Mai;0.091;20;49;0.9976;Mrz 34;0.86;10. Jun;7
11. Jun;0.42;0.53;03. Mrz;0.105;33;98;1.001;03. Feb;0.95;09. Feb;5
08. Jul;0.52;0.09;02. Mai;0.091;20;49;0.9976;Mrz 34;0.86;10. Jun;7
11;0.2;0.48;2;0.343;6;18;0.9979;03. Mrz;0.71;10. Mai;5
10. Apr;0.55;0.23;02. Jul;0.091;18;48;0.9994;Mrz 22;0.64;10. Mrz;6
06. Sep;0.36;0.25;02. Apr;0.098;5;16;0.9964;Mrz 41;0.6;10. Jan;6
13. Mrz;0.34;0.52;03. Feb;0.094;17;53;10.014;03. Mai;0.81;09. Mai;6
10. Aug;0.5;0.46;02. Mai;0.073;5;27;10.001;03. Mai;0.64;09. Mai;5
10. Jun;0.83;0.37;02. Jun;0.086;26;70;0.9981;Mrz 16;0.52;09. Sep;5
07. Jan;0.63;0.06;2;0.083;8;29;0.99855;Mrz 67;0.73;09. Jun;5
07. Feb;0.65;0.02;02. Mrz;0.094;5;31;0.9993;Mrz 67;0.8;09. Jul;5
06. Sep;0.67;0.06;02. Jan;0.08;8;33;0.99845;Mrz 68;0.71;09. Jun;5
07. Mai;0.53;0.06;02. Jun;0.086;20;44;0.9965;Mrz 38;0.59;10. Jul;6
11. Jan;0.18;0.48;01. Mai;0.068;7;15;0.9973;Mrz 22;0.64;10. Jan;6
08. Mrz;0.705;0.12;02. Jun;0.092;12;28;0.9994;Mrz 51;0.72;10;5
07. Apr;0.67;0.12;01. Jun;0.186;5;21;0.996;Mrz 39;0.54;09. Mai;5
08. Apr;0.65;0.6;02. Jan;0.112;12;90;0.9973;03. Feb;0.52;09. Feb;5
10. Mrz;0.53;0.48;02. Mai;0.063;6;25;0.9998;03. Dez;0.59;09. Mrz;6
07. Jun;0.62;0.32;02. Feb;0.082;7;54;0.9966;Mrz 36;0.52;09. Apr;5
10. Mrz;0.41;0.42;02. Apr;0.213;6;14;0.9994;Mrz 19;0.62;09. Mai;6
10. Mrz;0.43;0.44;02. Apr;0.214;5;12;0.9994;Mrz 19;0.63;09. Mai;6
07. Apr;0.29;0.38;01. Jul;0.062;9;30;0.9968;Mrz 41;0.53;09. Mai;6
10. Mrz;0.53;0.48;02. Mai;0.063;6;25;0.9998;03. Dez;0.59;09. Mrz;6
07. Sep;0.53;0.24;2;0.072;15;105;0.996;Mrz 27;0.54;09. Apr;6
9;0.46;0.31;02. Aug;0.093;19;98;0.99815;Mrz 32;0.63;09. Mai;6
08. Jun;0.47;0.3;3;0.076;30;135;0.9976;03. Mrz;0.53;09. Apr;5
07. Apr;0.36;0.29;02. Jun;0.087;26;72;0.99645;Mrz 39;0.68;11;5
07. Jan;0.35;0.29;02. Mai;0.096;20;53;0.9962;Mrz 42;0.65;11;6
09. Jun;0.56;0.23;03. Apr;0.102;37;92;0.9996;03. Mrz;0.65;10. Jan;5
09. Jun;0.77;0.12;02. Sep;0.082;30;74;0.99865;03. Mrz;0.64;10. Apr;6
09. Aug;0.66;0.39;03. Feb;0.083;21;59;0.9989;Mrz 37;0.71;11. Mai;7
09. Jun;0.77;0.12;02. Sep;0.082;30;74;0.99865;03. Mrz;0.64;10. Apr;6
09. Aug;0.66;0.39;03. Feb;0.083;21;59;0.9989;Mrz 37;0.71;11. Mai;7
09. Mrz;0.61;0.26;03. Apr;0.09;25;87;0.99975;Mrz 24;0.62;09. Jul;5
07. Aug;0.62;0.05;02. Mrz;0.079;6;18;0.99735;Mrz 29;0.63;09. Mrz;5
10. Mrz;0.59;0.42;02. Aug;0.09;35;73;0.999;Mrz 28;0.7;09. Mai;6
10;0.49;0.2;11;0.071;13;50;10.015;Mrz 16;0.69;09. Feb;6
10;0.49;0.2;11;0.071;13;50;10.015;Mrz 16;0.69;09. Feb;6
11. Jun;0.53;0.66;Mrz 65;0.121;6;14;0.9978;03. Mai;0.74;11. Mai;7
10. Mrz;0.44;0.5;04. Mai;0.107;5;13;0.998;Mrz 28;0.83;11. Mai;5
13. Apr;0.27;0.62;02. Jun;0.082;6;21;10.002;Mrz 16;0.67;09. Jul;6
10. Jul;0.46;0.39;2;0.061;7;15;0.9981;Mrz 18;0.62;09. Mai;5
10. Feb;0.36;0.64;02. Sep;0.122;10;41;0.998;Mrz 23;0.66;12. Mai;6
10. Feb;0.36;0.64;02. Sep;0.122;10;41;0.998;Mrz 23;0.66;12. Mai;6
8;0.58;0.28;03. Feb;0.066;21;114;0.9973;Mrz 22;0.54;09. Apr;6
08. Apr;0.56;0.08;02. Jan;0.105;16;44;0.9958;Mrz 13;0.52;11;5
07. Sep;0.65;0.01;02. Mai;0.078;17;38;0.9963;Mrz 34;0.74;11. Jul;7
11. Sep;0.695;0.53;03. Apr;0.128;7;21;0.9992;Mrz 17;0.84;12. Feb;7
08. Sep;0.43;0.45;01. Sep;0.052;6;16;0.9948;Mrz 35;0.7;12. Mai;6
07. Aug;0.43;0.32;02. Aug;0.08;29;58;0.9974;Mrz 31;0.64;10. Mrz;5
12. Apr;0.49;0.58;3;0.103;28;99;10.008;Mrz 16;1;11. Mai;6
12. Mai;0.28;0.54;02. Mrz;0.082;12;29;0.9997;03. Nov;Jan 36;09. Aug;7
12. Feb;0.34;0.5;02. Apr;0.066;10;21;1;03. Dez;Jan 18;09. Feb;6
10. Jun;0.42;0.48;02. Jul;0.065;5;18;0.9972;Mrz 21;0.87;11. Mrz;6
10. Sep;0.39;0.47;01. Aug;0.118;6;14;0.9982;03. Mrz;0.75;09. Aug;6
10. Sep;0.39;0.47;01. Aug;0.118;6;14;0.9982;03. Mrz;0.75;09. Aug;6
11. Sep;0.57;0.5;02. Jun;0.082;6;32;10.006;03. Dez;0.78;10. Jul;6
7;0.685;0;01. Sep;0.067;40;63;0.9979;03. Jun;0.81;09. Sep;5
06. Jun;0.815;0.02;02. Jul;0.072;17;34;0.9955;Mrz 58;0.89;12. Mrz;7
13. Aug;0.49;0.67;3;0.093;6;15;0.9986;03. Feb;0.93;12;6
09. Jun;0.56;0.31;02. Aug;0.089;15;46;0.9979;03. Nov;0.92;10;6
09. Jan;0.785;0;02. Jun;0.093;11;28;0.9994;Mrz 36;0.86;09. Apr;6
10. Jul;0.67;0.22;02. Jul;0.107;17;34;10.004;Mrz 28;0.98;09. Sep;6
09. Jan;0.795;0;02. Jun;0.096;11;26;0.9994;Mrz 35;0.83;09. Apr;6
07. Jul;0.665;0;02. Apr;0.09;8;19;0.9974;Mrz 27;0.73;09. Mrz;5
13. Mai;0.53;0.79;04. Aug;0.12;23;77;10.018;Mrz 18;0.77;13;5
06. Jan;0.21;0.4;01. Apr;0.066;40.5;165;0.9912;Mrz 25;0.59;11. Sep;6
06. Jul;0.75;0.01;02. Apr;0.078;17;32;0.9955;Mrz 55;0.61;12. Aug;6
11. Mai;0.41;0.52;3;0.08;29;55;10.001;Mrz 26;0.88;11;5
10. Mai;0.42;0.66;Feb 95;0.116;12;29;0.997;Mrz 24;0.75;11. Jul;7
11. Sep;0.43;0.66;03. Jan;0.109;10;23;1;Mrz 15;0.85;10. Apr;7
12. Jun;0.38;0.66;02. Jun;0.088;10;41;1.001;Mrz 17;0.68;09. Aug;6
08. Feb;0.7;0.23;2;0.099;14;81;0.9973;Mrz 19;0.7;09. Apr;5
08. Jun;0.45;0.31;02. Jun;0.086;21;50;0.9982;Mrz 37;0.91;09. Sep;6
11. Sep;0.58;0.66;02. Mai;0.072;6;37;0.9992;03. Mai;0.56;10;5
12. Mai;0.46;0.63;2;0.071;6;15;0.9988;Feb 99;0.87;10. Feb;5
12. Aug;0.615;0.66;05. Aug;0.083;7;42;10.022;03. Jul;0.73;10;7
10;0.42;0.5;03. Apr;0.107;7;21;0.9979;Mrz 26;0.93;11. Aug;6
12. Aug;0.615;0.66;05. Aug;0.083;7;42;10.022;03. Jul;0.73;10;7
10. Apr;0.575;0.61;02. Jun;0.076;11;24;1;Mrz 16;0.69;9;5
10. Mrz;0.34;0.52;02. Aug;0.159;15;75;0.9998;Mrz 18;0.64;09. Apr;5
09. Apr;0.27;0.53;02. Apr;0.074;6;18;0.9962;03. Feb;Jan 13;12;7
06. Sep;0.765;0.02;02. Mrz;0.063;35;63;0.9975;Mrz 57;0.78;09. Sep;5
07. Sep;0.24;0.4;01. Jun;0.056;11;25;0.9967;Mrz 32;0.87;08. Jul;6
09. Jan;0.28;0.48;01. Aug;0.067;26;46;0.9967;Mrz 32;01. Apr;10. Jun;6
07. Apr;0.55;0.22;02. Feb;0.106;12;72;0.9959;03. Mai;0.63;09. Feb;5
14;0.41;0.63;03. Aug;0.089;6;47;10.014;03. Jan;0.81;10. Aug;6
11. Mai;0.54;0.71;04. Apr;0.124;6;15;0.9984;03. Jan;0.83;11. Aug;7
11. Mai;0.45;0.5;3;0.078;19;47;10.003;Mrz 26;01. Nov;11;6
09. Apr;0.27;0.53;02. Apr;0.074;6;18;0.9962;03. Feb;Jan 13;12;7
11. Apr;0.625;0.66;06. Feb;0.088;6;24;0.9988;03. Nov;0.99;13. Mrz;6
08. Mrz;0.42;0.38;02. Mai;0.094;24;60;0.9979;Mrz 31;0.7;10. Aug;6
08. Mrz;0.26;0.42;2;0.08;11;27;0.9974;Mrz 21;0.8;09. Apr;6
13. Jul;0.415;0.68;02. Sep;0.085;17;43;10.014;03. Jun;0.8;10;6
08. Mrz;0.26;0.42;2;0.08;11;27;0.9974;Mrz 21;0.8;09. Apr;6
08. Mrz;0.26;0.42;2;0.08;11;27;0.9974;Mrz 21;0.8;09. Apr;6
07. Jul;0.51;0.28;02. Jan;0.087;23;54;0.998;Mrz 42;0.74;09. Feb;5
07. Apr;0.63;0.07;02. Apr;0.09;11;37;0.9979;Mrz 43;0.76;09. Jul;6
07. Aug;0.54;0.26;2;0.088;23;48;0.9981;Mrz 41;0.74;09. Feb;6
08. Mrz;0.66;0.15;01. Sep;0.079;17;42;0.9972;Mrz 31;0.54;09. Jun;6
07. Aug;0.46;0.26;01. Sep;0.088;23;53;0.9981;Mrz 43;0.74;09. Feb;6
09. Jun;0.38;0.31;02. Mai;0.096;16;49;0.9982;Mrz 19;0.7;10;7
05. Jun;0.85;0.05;01. Apr;0.045;12;88;0.9924;Mrz 56;0.82;12. Sep;8
13. Jul;0.415;0.68;02. Sep;0.085;17;43;10.014;03. Jun;0.8;10;6
09. Mai;0.37;0.52;2;0.082;6;26;0.998;Mrz 18;0.51;09. Mai;5
08. Apr;0.665;0.61;2;0.112;13;95;0.997;Mrz 16;0.54;09. Jan;5
12. Jul;0.6;0.65;02. Mrz;0.063;6;25;0.9997;03. Mrz;0.57;09. Sep;5
12;0.37;0.76;04. Feb;0.066;7;38;10.004;Mrz 22;0.6;13;7
06. Jun;0.735;0.02;07. Sep;0.122;68;124;0.9994;Mrz 47;0.53;09. Sep;5
11. Mai;0.59;0.59;02. Jun;0.087;13;49;0.9988;Mrz 18;0.65;11;6
11. Mai;0.59;0.59;02. Jun;0.087;13;49;0.9988;Mrz 18;0.65;11;6
08. Jul;0.765;0.22;02. Mrz;0.064;9;42;0.9963;03. Jan;0.55;09. Apr;5
06. Jun;0.735;0.02;07. Sep;0.122;68;124;0.9994;Mrz 47;0.53;09. Sep;5
07. Jul;0.26;0.3;01. Jul;0.059;20;38;0.9949;Mrz 29;0.47;10. Aug;6
12. Feb;0.48;0.54;02. Jun;0.085;19;64;1;03. Jan;0.61;10. Mai;6
11. Apr;0.6;0.49;02. Jul;0.085;10;41;0.9994;Mrz 15;0.63;10. Mai;6
07. Jul;0.69;0.05;02. Jul;0.075;15;27;0.9974;Mrz 26;0.61;09. Jan;5
08. Jul;0.31;0.46;01. Apr;0.059;11;25;0.9966;Mrz 36;0.76;10. Jan;6
09. Aug;0.44;0.47;02. Mai;0.063;9;28;0.9981;Mrz 24;0.65;10. Aug;6
12;0.39;0.66;3;0.093;12;30;0.9996;Mrz 18;0.63;10. Aug;7
10. Apr;0.34;0.58;03. Jul;0.174;6;16;0.997;Mrz 19;0.7;11. Mrz;6
12. Mai;0.46;0.49;04. Mai;0.07;26;49;0.9981;03. Mai;0.57;09. Jun;4
9;0.43;0.34;02. Mai;0.08;26;86;0.9987;Mrz 38;0.62;09. Mai;6
09. Jan;0.45;0.35;02. Apr;0.08;23;78;0.9987;Mrz 38;0.62;09. Mai;5
07. Jan;0.735;0.16;01. Sep;0.1;15;77;0.9966;Mrz 27;0.64;09. Mrz;5
09. Sep;0.4;0.53;06. Jul;0.097;6;19;0.9986;Mrz 27;0.82;11. Jul;7
08. Aug;0.52;0.34;02. Jul;0.087;24;122;0.9982;Mrz 26;0.61;09. Mai;5
08. Jun;0.725;0.24;06. Jun;0.117;31;134;10.014;Mrz 32;01. Jul;09. Mrz;5
10. Jun;0.48;0.64;02. Feb;0.111;6;20;0.997;Mrz 26;0.66;11. Jul;6
7;0.58;0.12;01. Sep;0.091;34;124;0.9956;Mrz 44;0.48;10. Mai;5
11. Sep;0.38;0.51;2;0.121;7;20;0.9996;Mrz 24;0.76;10. Apr;6
06. Aug;0.77;0;01. Aug;0.066;34;52;0.9976;Mrz 62;0.68;09. Sep;5
09. Mai;0.56;0.33;02. Apr;0.089;35;67;0.9972;Mrz 28;0.73;11. Aug;7
06. Jun;0.84;0.03;02. Mrz;0.059;32;48;0.9952;Mrz 52;0.56;12. Mrz;7
07. Jul;0.96;0.2;2;0.047;15;60;0.9955;Mrz 36;0.44;10. Sep;5
10. Mai;0.24;0.47;02. Jan;0.066;6;24;0.9978;Mrz 15;0.9;11;7
07. Jul;0.96;0.2;2;0.047;15;60;0.9955;Mrz 36;0.44;10. Sep;5
06. Jun;0.84;0.03;02. Mrz;0.059;32;48;0.9952;Mrz 52;0.56;12. Mrz;7
06. Apr;0.67;0.08;02. Jan;0.045;19;48;0.9949;Mrz 49;0.49;11. Apr;6
09. Mai;0.78;0.22;01. Sep;0.077;6;32;0.9988;Mrz 26;0.56;10. Jun;6
09. Jan;0.52;0.33;01. Mrz;0.07;9;30;0.9978;Mrz 24;0.6;09. Mrz;5
12. Aug;0.84;0.63;02. Apr;0.088;13;35;0.9997;03. Jan;0.6;10. Apr;6
10. Mai;0.24;0.47;02. Jan;0.066;6;24;0.9978;Mrz 15;0.9;11;7
07. Aug;0.55;0.35;02. Feb;0.074;21;66;0.9974;Mrz 25;0.56;09. Feb;5
11. Sep;0.37;0.69;02. Mrz;0.078;12;24;0.9958;3;0.65;12. Aug;6
12. Mrz;0.39;0.63;02. Mrz;0.091;6;18;10.004;Mrz 16;0.49;09. Mai;5
10. Apr;0.41;0.55;03. Feb;0.076;22;54;0.9996;Mrz 15;0.89;09. Sep;6
12. Mrz;0.39;0.63;02. Mrz;0.091;6;18;10.004;Mrz 16;0.49;09. Mai;5
8;0.67;0.3;2;0.06;38;62;0.9958;Mrz 26;0.56;10. Feb;6
11. Jan;0.45;0.73;03. Feb;0.066;6;22;0.9986;Mrz 17;0.66;11. Feb;6
10. Apr;0.41;0.55;03. Feb;0.076;22;54;0.9996;Mrz 15;0.89;09. Sep;6
7;0.62;0.18;01. Mai;0.062;7;50;0.9951;03. Aug;0.6;09. Mrz;5
12. Jun;0.31;0.72;02. Feb;0.072;6;29;0.9987;Feb 88;0.82;09. Aug;8
11. Sep;0.4;0.65;Feb 15;0.068;7;27;0.9988;03. Jun;0.68;11. Mrz;6
15. Jun;0.685;0.76;03. Jul;0.1;6;43;10.032;Feb 95;0.68;11. Feb;7
10;0.44;0.49;02. Jul;0.077;11;19;0.9963;Mrz 23;0.63;11. Jun;7
05. Mrz;0.57;0.01;01. Jul;0.054;5;27;0.9934;Mrz 57;0.84;12. Mai;7
09. Mai;0.735;0.1;02. Jan;0.079;6;31;0.9986;Mrz 23;0.56;10. Jan;6
12. Mai;0.38;0.6;02. Jun;0.081;31;72;0.9996;03. Jan;0.73;10. Mai;5
09. Mrz;0.48;0.29;02. Jan;0.127;6;16;0.9968;Mrz 22;0.72;11. Feb;5
08. Jun;0.53;0.22;2;0.1;7;27;0.9967;03. Feb;0.56;10. Feb;6
11. Sep;0.39;0.69;02. Aug;0.095;17;35;0.9994;03. Jan;0.61;10. Aug;6
11. Sep;0.39;0.69;02. Aug;0.095;17;35;0.9994;03. Jan;0.61;10. Aug;6
08. Apr;0.37;0.53;01. Aug;0.413;9;26;0.9979;03. Jun;01. Jun;09. Jan;6
06. Aug;0.56;0.03;01. Jul;0.084;18;35;0.9968;Mrz 44;0.63;10;6
10. Apr;0.33;0.63;02. Aug;0.084;5;22;0.9998;Mrz 26;0.74;11. Feb;7
7;0.23;0.4;01. Jun;0.063;21;67;0.9952;03. Mai;0.63;11. Jan;5
11. Mrz;0.62;0.67;05. Feb;0.086;6;19;0.9988;Mrz 22;0.69;13. Apr;8
08. Sep;0.59;0.39;02. Mrz;0.095;5;22;0.9986;Mrz 37;0.58;10. Mrz;5
09. Feb;0.63;0.21;02. Jul;0.097;29;65;0.9988;Mrz 28;0.58;09. Jun;5
10. Apr;0.33;0.63;02. Aug;0.084;5;22;0.9998;Mrz 26;0.74;11. Feb;7
11. Jun;0.58;0.66;02. Feb;0.074;10;47;10.008;Mrz 25;0.57;9;3
09. Feb;0.43;0.52;02. Mrz;0.083;14;23;0.9976;Mrz 35;0.61;11. Mrz;6
08. Mrz;0.615;0.22;02. Jun;0.087;6;19;0.9982;Mrz 26;0.61;09. Mrz;5
11;0.26;0.68;Feb 55;0.085;10;25;0.997;Mrz 18;0.61;11. Aug;5
08. Jan;0.66;0.7;02. Feb;0.098;25;129;0.9972;03. Aug;0.53;9;5
11. Mai;0.315;0.54;02. Jan;0.084;5;15;0.9987;Feb 98;0.7;09. Feb;6
10;0.29;0.4;02. Sep;0.098;10;26;10.006;Mrz 48;0.91;09. Jul;5
10. Mrz;0.5;0.42;2;0.069;21;51;0.9982;Mrz 16;0.72;11. Mai;6
08. Aug;0.46;0.45;02. Jun;0.065;7;18;0.9947;Mrz 32;0.79;14;6
11. Apr;0.36;0.69;02. Jan;0.09;6;21;1;Mrz 17;0.62;09. Feb;6
08. Jul;0.82;0.02;01. Feb;0.07;36;48;0.9952;03. Feb;0.58;09. Aug;5
13;0.32;0.65;02. Jun;0.093;15;47;0.9996;03. Mai;0.61;10. Jun;5
09. Jun;0.54;0.42;02. Apr;0.081;25;52;0.997;03. Feb;0.71;11. Apr;6
12. Mai;0.37;0.55;02. Jun;0.083;25;68;0.9995;Mrz 15;0.82;10. Apr;6
09. Sep;0.35;0.55;02. Jan;0.062;5;14;0.9971;Mrz 26;0.79;10. Jun;5
10. Mai;0.28;0.51;01. Jul;0.08;10;24;0.9982;03. Feb;0.89;09. Apr;6
09. Jun;0.68;0.24;02. Feb;0.087;5;28;0.9988;Mrz 14;0.6;10. Feb;5
09. Mrz;0.27;0.41;2;0.091;6;16;0.998;Mrz 28;0.7;09. Jul;5
10. Apr;0.24;0.49;01. Aug;0.075;6;20;0.9977;Mrz 18;01. Jun;11;6
09. Jun;0.68;0.24;02. Feb;0.087;5;28;0.9988;Mrz 14;0.6;10. Feb;5
09. Apr;0.685;0.11;02. Jul;0.077;6;31;0.9984;Mrz 19;0.7;10. Jan;6
10. Jun;0.28;0.39;15. Mai;0.069;6;23;10.026;03. Dez;0.66;09. Feb;5
09. Apr;0.3;0.56;02. Aug;0.08;6;17;0.9964;Mrz 15;0.92;11. Jul;8
10. Jun;0.36;0.59;02. Feb;0.152;6;18;0.9986;03. Apr;01. Mai;09. Apr;5
10. Jun;0.36;0.6;02. Feb;0.152;7;18;0.9986;03. Apr;01. Jun;09. Apr;5
10. Jun;0.44;0.68;04. Jan;0.114;6;24;0.997;03. Jun;0.66;13. Apr;6
10. Feb;0.67;0.39;01. Sep;0.054;6;17;0.9976;Mrz 17;0.47;10;5
10. Feb;0.67;0.39;01. Sep;0.054;6;17;0.9976;Mrz 17;0.47;10;5
10. Feb;0.645;0.36;01. Aug;0.053;5;14;0.9982;Mrz 17;0.42;10;6
11. Jun;0.32;0.55;02. Aug;0.081;35;67;10.002;Mrz 32;0.92;10. Aug;7
09. Mrz;0.39;0.4;02. Jun;0.073;10;26;0.9984;Mrz 34;0.75;10. Feb;6
09. Mrz;0.775;0.27;02. Aug;0.078;24;56;0.9984;Mrz 31;0.67;10. Jun;6
09. Feb;0.41;0.5;02. Mai;0.055;12;25;0.9952;Mrz 34;0.79;13. Mrz;7
08. Sep;0.4;0.51;02. Jun;0.052;13;27;0.995;Mrz 32;0.9;13. Apr;7
08. Jul;0.69;0.31;3;0.086;23;81;10.002;Mrz 48;0.74;11. Jun;6
06. Mai;0.39;0.23;08. Mrz;0.051;28;91;0.9952;Mrz 44;0.55;12. Jan;6
10. Jul;0.35;0.53;02. Jun;0.07;5;16;0.9972;Mrz 15;0.65;11;8
07. Aug;0.52;0.25;01. Sep;0.081;14;38;0.9984;Mrz 43;0.65;9;6
07. Feb;0.34;0.32;02. Mai;0.09;43;113;0.9966;Mrz 32;0.79;11. Jan;5
10. Jul;0.35;0.53;02. Jun;0.07;5;16;0.9972;Mrz 15;0.65;11;8
08. Jul;0.69;0.31;3;0.086;23;81;10.002;Mrz 48;0.74;11. Jun;6
07. Aug;0.52;0.25;01. Sep;0.081;14;38;0.9984;Mrz 43;0.65;9;6
10. Apr;0.44;0.73;Jun 55;0.074;38;76;0.999;Mrz 17;0.85;12;7
10. Apr;0.44;0.73;Jun 55;0.074;38;76;0.999;Mrz 17;0.85;12;7
10. Mai;0.26;0.47;01. Sep;0.078;6;24;0.9976;Mrz 18;01. Apr;10. Sep;7
10. Mai;0.24;0.42;01. Aug;0.077;6;22;0.9976;Mrz 21;01. Mai;10. Aug;7
10. Feb;0.49;0.63;02. Sep;0.072;10;26;0.9968;Mrz 16;0.78;12. Mai;7
10. Apr;0.24;0.46;01. Aug;0.075;6;21;0.9976;Mrz 25;01. Feb;10. Aug;7
11. Feb;0.67;0.55;02. Mrz;0.084;6;13;1;Mrz 17;0.71;09. Mai;6
10;0.59;0.31;02. Feb;0.09;26;62;0.9994;Mrz 18;0.63;10. Feb;6
13. Mrz;0.29;0.75;02. Aug;0.084;23;43;0.9986;03. Apr;0.68;11. Apr;7
12. Apr;0.42;0.49;04. Jun;0.073;19;43;0.9978;03. Feb;0.61;09. Mai;5
10;0.59;0.31;02. Feb;0.09;26;62;0.9994;Mrz 18;0.63;10. Feb;6
10. Jul;0.4;0.48;02. Jan;0.125;15;49;0.998;03. Mrz;0.81;09. Jul;6
10. Mai;0.51;0.64;02. Apr;0.107;6;15;0.9973;03. Sep;0.66;11. Aug;7
10. Mai;0.51;0.64;02. Apr;0.107;6;15;0.9973;03. Sep;0.66;11. Aug;7
08. Mai;0.655;0.49;06. Jan;0.122;34;151;1.001;Mrz 31;Jan 14;09. Mrz;5
12. Mai;0.6;0.49;04. Mrz;0.1;5;14;1.001;Mrz 25;0.74;11. Sep;6
10. Apr;0.61;0.49;02. Jan;0.2;5;16;0.9994;Mrz 16;0.63;08. Apr;3
10. Sep;0.21;0.49;02. Aug;0.088;11;32;0.9972;Mrz 22;0.68;11. Jul;6
07. Mrz;0.365;0.49;02. Mai;0.088;39;106;0.9966;Mrz 36;0.78;11;5
09. Aug;0.25;0.49;02. Jul;0.088;15;33;0.9982;Mrz 42;0.9;10;6
07. Jun;0.41;0.49;2;0.088;16;43;0.998;Mrz 48;0.64;09. Jan;5
08. Feb;0.39;0.49;02. Mrz;0.099;47;133;0.9979;Mrz 38;0.99;09. Aug;5
09. Mrz;0.4;0.49;02. Mai;0.085;38;142;0.9978;Mrz 22;0.55;09. Apr;5
09. Feb;0.43;0.49;02. Apr;0.086;23;116;0.9976;Mrz 23;0.64;09. Mai;5
10. Apr;0.64;0.24;02. Aug;0.105;29;53;0.9998;Mrz 24;0.67;09. Sep;5
07. Mrz;0.365;0.49;02. Mai;0.088;39;106;0.9966;Mrz 36;0.78;11;5
7;0.38;0.49;02. Mai;0.097;33;85;0.9962;Mrz 39;0.77;11. Apr;6
08. Feb;0.42;0.49;02. Jun;0.084;32;55;0.9988;Mrz 34;0.75;08. Jul;6
09. Sep;0.63;0.24;02. Apr;0.077;6;33;0.9974;03. Sep;0.57;09. Apr;5
09. Jan;0.22;0.24;02. Jan;0.078;1;28;0.999;Mrz 41;0.87;10. Mrz;6
11. Sep;0.38;0.49;02. Jul;0.098;12;42;10.004;Mrz 16;0.61;10. Mrz;5
11. Sep;0.38;0.49;02. Jul;0.098;12;42;10.004;Mrz 16;0.61;10. Mrz;5
10. Mrz;0.27;0.24;02. Jan;0.072;15;33;0.9956;Mrz 22;0.66;12. Aug;6
10;0.48;0.24;02. Jul;0.102;13;32;1;Mrz 28;0.56;10;6
09. Jan;0.22;0.24;02. Jan;0.078;1;28;0.999;Mrz 41;0.87;10. Mrz;6
09. Sep;0.63;0.24;02. Apr;0.077;6;33;0.9974;03. Sep;0.57;09. Apr;5
08. Jan;0.825;0.24;02. Jan;0.084;5;13;0.9972;Mrz 37;0.77;10. Jul;6
12. Sep;0.35;0.49;05. Aug;0.066;5;35;10.014;03. Feb;0.66;12;7
11. Feb;0.5;0.74;Mai 15;0.1;5;17;0.9996;Mrz 22;0.62;11. Feb;5
09. Feb;0.59;0.24;03. Mrz;0.101;20;47;0.9988;Mrz 26;0.67;09. Jun;5
09. Mai;0.46;0.49;06. Mrz;0.064;5;17;0.9988;Mrz 21;0.73;11;6
09. Mrz;0.715;0.24;02. Jan;0.07;5;20;0.9966;03. Dez;0.59;09. Sep;5
11. Feb;0.66;0.24;02. Mai;0.085;16;53;0.9993;03. Jun;0.72;11;6
14. Mrz;0.31;0.74;01. Aug;0.075;6;15;10.008;Feb 86;0.79;08. Apr;6
09. Jan;0.47;0.49;02. Jun;0.094;38;106;0.9982;03. Aug;0.59;09. Jan;5
07. Mai;0.55;0.24;2;0.078;10;28;0.9983;Mrz 45;0.78;09. Mai;6
10. Jun;0.31;0.49;02. Mai;0.067;6;21;0.9987;Mrz 26;0.86;10. Jul;6
12. Apr;0.35;0.49;02. Jun;0.079;27;69;0.9994;03. Dez;0.75;10. Apr;6
9;0.53;0.49;01. Sep;0.171;6;25;0.9975;Mrz 27;0.61;09. Apr;6
